Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0251027,2014-09-17,2014-09-17,,Ertem Egilmez,Kalbimin efendisi,1929-02-18
2,nm0000041,2014-09-17,2014-09-17,,Akira Kurosawa,Kakushi-toride no san-akunin,1910-03-23
3,nm0000033,2014-09-17,2014-09-17,,Alfred Hitchcock,Psycho,1899-08-13
4,nm0000005,2014-09-17,2014-09-17,,Ingmar Bergman,Smultronstället,1918-07-14
5,nm0000229,2014-09-17,2014-09-17,,Steven Spielberg,Schindler's List,1946-12-18
6,nm0000697,2014-09-17,2014-09-17,,Billy Wilder,The Apartment,1906-06-22
7,nm0634240,2014-09-17,2014-09-17,,Christopher Nolan,Dunkirk,1970-07-30
8,nm0000040,2014-09-17,2014-09-17,,Stanley Kubrick,2001: A Space Odyssey,1928-07-26
9,nm0000217,2014-09-17,2014-09-17,,Martin Scorsese,Taxi Driver,1942-11-17
10,nm0943758,2014-09-17,2014-09-17,,William Wyler,The Best Years of Our Lives,1902-07-01
11,nm0654868,2014-09-17,2014-09-17,,Yasujirô Ozu,Tôkyô monogatari,1903-12-12
12,nm0000122,2014-09-17,2014-09-17,,Charles Chaplin,The Great Dictator,1889-04-16
13,nm0000233,2014-09-17,2014-09-17,,Quentin Tarantino,Reservoir Dogs,1963-03-27
14,nm0594503,2014-09-17,2014-09-17,,Hayao Miyazaki,Sen to Chihiro no kamikakushi,1941-01-05
15,nm0000338,2014-09-17,2014-09-17,,Francis Ford Coppola,Apocalypse Now,1939-04-07
16,nm0711745,2014-09-17,2014-09-17,,Mani Ratnam,Kannathil Muthamittal,1955-06-02
17,nm0001392,2014-09-17,2014-09-17,,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring,1961-10-31
18,nm0001466,2014-09-17,2014-09-17,,Sergio Leone,Once Upon a Time in America,1929-01-03
19,nm0000320,2014-09-17,2014-09-17,,Luis Buñuel,El ángel exterminador,1900-02-22
20,nm0000399,2014-09-17,2014-09-17,,David Fincher,Se7en,1962-08-28
21,nm0001328,2014-09-17,2014-09-17,,Howard Hawks,Red River,1896-05-30
22,nm0000485,2014-09-17,2014-09-17,,Fritz Lang,Le mépris,1890-12-05
23,nm0001486,2014-09-17,2014-09-17,,Sidney Lumet,12 Angry Men,1924-06-25
24,nm0001008,2014-09-17,2014-09-17,,Frank Capra,It's a Wonderful Life,1897-05-18
25,nm0462030,2014-09-17,2014-09-17,,Masaki Kobayashi,Ningen no jôken,1916-02-14
26,nm0002030,2014-09-17,2014-09-17,,George Cukor,My Fair Lady,1899-07-07
27,nm0000406,2014-09-17,2014-09-17,,John Ford,The Quiet Man,1894-02-01
28,nm0000180,2014-09-17,2014-09-17,,David Lean,Lawrence of Arabia,1908-03-25
29,nm0000419,2014-09-17,2014-09-17,,Jean-Luc Godard,Pierrot le fou,1930-12-03
30,nm0001789,2014-09-17,2014-09-17,,Andrei Tarkovsky,Solyaris,1932-04-04
31,nm0001415,2014-09-17,2014-09-17,,Elia Kazan,On the Waterfront,1909-09-07
32,nm0000095,2014-09-17,2014-09-17,,Woody Allen,Manhattan,1935-12-01
33,nm0000036,2014-09-17,2014-09-17,,Buster Keaton,The General,1895-10-04
34,nm0000019,2014-09-17,2014-09-17,,Federico Fellini,Amarcord,1920-01-20
35,nm0006249,2014-09-17,2014-09-17,,Satyajit Ray,Pather Panchali,1921-05-02
36,nm0301145,2014-09-17,2014-09-17,,Leonid Gaidai,Brilliantovaya ruka,1923-01-30
37,nm0002031,2014-09-17,2014-09-17,,Michael Curtiz,Casablanca,1886-12-24
38,nm0000142,2014-09-17,2014-09-17,,Clint Eastwood,Million Dollar Baby,1930-05-31
39,nm0611531,2014-09-17,2014-09-17,,Hrishikesh Mukherjee,Anand,1922-09-30
40,nm0001379,2014-09-17,2014-09-17,,John Huston,The Treasure of the Sierra Madre,1906-08-05
41,nm0503777,2014-09-17,2014-09-17,,Mervyn LeRoy,Gypsy,1900-10-15
42,nm0752922,2014-09-17,2014-09-17,,Eldar Ryazanov,Nebesa obetovannye,1927-11-18
43,nm0598102,2014-10-14,2014-10-14,,Mario Monicelli,I compagni,1915-05-16
44,nm0896542,2014-09-17,2014-09-17,,King Vidor,Hallelujah,1894-02-08
45,nm0001053,2014-09-17,2014-09-17,,Ethan Coen,The Ballad of Buster Scruggs,1957-09-21
46,nm0797672,2014-10-14,2014-10-14,,Slobodan Sijan,Ko to tamo peva,1946-11-16
47,nm0523932,2014-09-17,2014-09-17,,Ernst Lubitsch,To Be or Not to Be,1892-01-29
48,nm0000631,2014-09-17,2014-09-17,,Ridley Scott,The Martian,1937-11-30
49,nm0939992,2014-09-17,2014-09-17,,Sam Wood,Ivy,1883-07-10
50,nm0899581,2014-09-17,2014-09-17,,Luchino Visconti,Rocco e i suoi fratelli,1906-11-02
51,nm0955443,2014-09-17,2014-09-17,,Yimou Zhang,Shi mian mai fu,1951-11-14
52,nm0003226,2014-09-17,2014-09-17,,Kenji Mizoguchi,Ugetsu monogatari,1898-05-16
53,nm0001104,2014-09-17,2014-09-17,,Frank Darabont,The Green Mile,1959-01-28
54,nm0000500,2014-09-17,2014-09-17,,Richard Linklater,Waking Life,1960-07-30
55,nm0000709,2014-09-17,2014-09-17,,Robert Zemeckis,Back to the Future,1951-05-14
56,nm0001437,2014-09-17,2014-09-17,,Emir Kusturica,Underground,1954-11-24
57,nm0000080,2014-09-17,2014-09-17,,Orson Welles,Citizen Kane,1915-05-06
58,nm0909825,2014-09-17,2014-09-17,,Raoul Walsh,Sadie Thompson,1887-03-11
59,nm0000591,2014-09-17,2014-09-17,,Roman Polanski,Chinatown,1933-08-18
60,nm0440604,2014-09-17,2014-09-17,,Anurag Kashyap,Gangs of Wasseypur,1972-09-10
61,nm0578483,2014-09-17,2014-09-17,,Jean-Pierre Melville,À bout de souffle,1917-10-20
62,nm0000116,2014-09-17,2014-09-17,,James Cameron,Avatar,1954-08-16
63,nm0000076,2014-09-17,2014-09-17,,François Truffaut,La nuit américaine,1932-02-06
64,nm0001232,2014-09-17,2014-09-17,,Milos Forman,One Flew Over the Cuckoo's Nest,1932-02-18
65,nm0003836,2014-09-17,2014-09-17,,Michael Powell,A Matter of Life and Death,1905-09-30
66,nm0199381,2014-09-17,2014-09-17,,Georgiy Daneliya,Kin-dza-dza!,1930-08-25
67,nm0080235,2014-10-14,2014-10-14,,Vishal Bhardwaj,Haider,
68,nm0001120,2014-09-17,2014-09-17,,Vittorio De Sica,Ladri di biciclette,1901-07-07
69,nm0947998,2014-09-17,2014-09-17,,Atif Yilmaz,Bir Yudum Sevgi,1925-12-09
70,nm0000581,2014-09-17,2014-09-17,,Joseph L. Mankiewicz,All About Eve,1909-02-11
71,nm0006703,2014-09-17,2014-09-17,,Zeki Ökten,Sürü,1941-08-04
72,nm0920074,2014-09-17,2014-09-17,,William A. Wellman,A Star Is Born,1896-02-29
73,nm0003638,2014-09-17,2014-09-17,,F.W. Murnau,Sunrise: A Song of Two Humans,1888-12-28
74,nm1410815,2014-09-17,2014-09-17,,Asghar Farhadi,Darbareye Elly,1972-05-07
75,nm0828419,2014-10-14,2014-10-14,,George Stevens,Giant,1904-12-18
76,nm0868153,2014-09-17,2014-09-17,,Giuseppe Tornatore,La migliore offerta,1956-05-27
77,nm0719756,2014-09-17,2014-09-17,,Jean Renoir,La grande illusion,1894-09-15
78,nm0564970,2014-09-17,2014-09-17,,Leo McCarey,An Affair to Remember,1896-10-03
79,nm0877078,2014-09-17,2014-09-17,,Yavuz Turgul,Eskiya,1946-04-05
80,nm0003593,2014-09-17,2014-09-17,,Fred Zinnemann,A Man for All Seasons,1907-04-29
81,nm0002545,2014-09-17,2014-09-17,,Preston Sturges,The Great McGinty,1898-08-29
82,nm0002160,2014-09-17,2014-09-17,,Moustapha Akkad,The Message,1930-07-01
83,nm0386246,2014-09-17,2014-09-17,,Rajkumar Hirani,Munna Bhai M.B.B.S.,1962-11-20
84,nm0332539,2014-09-17,2014-09-17,,Edmund Goulding,Grand Hotel,1891-03-20
85,nm0149196,2014-09-17,2014-09-17,,Nuri Bilge Ceylan,Bir Zamanlar Anadolu'da,1959-01-26
86,nm0936404,2014-09-17,2014-09-17,,Robert Wise,West Side Story,1914-09-10
87,nm0000419,2014-09-17,2014-09-17,,Jean-Luc Godard,Pierrot le fou,1930-12-03
88,nm0001425,2014-09-17,2014-09-17,,Krzysztof Kieslowski,Trois couleurs: Bleu,1941-06-27
89,nm0001661,2014-09-17,2014-09-17,,Rob Reiner,All in the Family,1947-03-06
90,nm0001129,2014-10-14,2014-10-14,,Jonathan Demme,The Silence of the Lambs,1944-02-22
91,nm0696247,2014-09-17,2014-09-17,,Emeric Pressburger,A Matter of Life and Death,1902-12-05
92,nm0000975,2014-09-17,2014-09-17,,Robert Bresson,Au hasard Balthazar,1901-09-25
93,nm0236729,2014-09-17,2014-09-17,,Srdjan Dragojevic,Parada,1963-01-01
94,nm0000416,2014-09-17,2014-09-17,,Terry Gilliam,Brazil,1940-11-22
95,nm0006498,2014-09-17,2014-09-17,,Majid Majidi,Bacheha-Ye aseman,
96,nm0881279,2014-09-17,2014-09-17,,Lee Unkrich,Coco,1967-08-08
97,nm0764316,2014-09-17,2014-09-17,,Rajkumar Santoshi,Andaz Apna Apna,
98,nm0001202,2014-09-17,2014-09-17,,Rainer Werner Fassbinder,Faustrecht der Freiheit,1945-05-31
99,nm0001501,2014-09-17,2014-09-17,,Louis Malle,Au revoir les enfants,1932-10-30
100,nm0586482,2014-09-17,2014-09-17,,Nikita Mikhalkov,12,1945-10-21
101,nm0001023,2014-09-17,2014-09-17,,John Cassavetes,Love Streams,1929-12-09
102,nm0006452,2014-09-17,2014-09-17,,Stanley Kramer,Judgment at Nuremberg,1913-09-29
103,nm0850601,2014-09-17,2014-09-17,,Béla Tarr,Werckmeister harmóniák,1955-07-21
104,nm0007181,2014-09-17,2014-09-17,,Yash Chopra,Veer-Zaara,1932-09-27
105,nm0000186,2014-09-17,2014-09-17,,David Lynch,Twin Peaks,1946-01-20
106,nm0281808,2014-09-17,2014-09-17,,Victor Fleming,Gone with the Wind,1889-02-23
107,nm0001348,2014-09-17,2014-09-17,,Werner Herzog,Fitzcarraldo,1942-09-05
108,nm0000165,2014-09-17,2014-09-17,,Ron Howard,Arrested Development,1954-03-01
109,nm0001741,2014-09-17,2014-09-17,,Bryan Singer,X-Men,1965-09-17
110,nm1463981,2014-09-17,2014-09-17,,Çagan Irmak,Babam ve Oglum,1970-04-04
111,nm0000487,2014-09-17,2014-09-17,,Ang Lee,Wo hu cang long,1954-10-23
112,nm0468169,2014-09-17,2014-09-17,,Dusan Kovacevic,Profesionalac,1948-07-12
113,nm0001124,2014-09-17,2014-09-17,,Cecil B. DeMille,The Ten Commandments,1881-08-12
114,nm0000694,2014-09-17,2014-09-17,,Wim Wenders,Der Himmel über Berlin,1945-08-14
115,nm0167241,2014-09-17,2014-09-17,,Henri-Georges Clouzot,Le salaire de la peur,1907-11-20
116,nm0176699,2014-09-17,2014-09-17,,Jack Conway,Viva Villa!,1887-07-17
117,nm0000766,2014-09-17,2014-09-17,,Theodoros Angelopoulos,Topio stin omihli,1935-04-27
118,nm0744023,2014-09-17,2014-09-17,,Roberto Rossellini,Paisà,1906-05-08
119,nm0000774,2014-09-17,2014-09-17,,Michelangelo Antonioni,Blowup,1912-09-29
120,nm0695937,2014-09-17,2014-09-17,,Otto Preminger,Anatomy of a Murder,1905-12-05
121,nm0000265,2014-09-17,2014-09-17,,Robert Altman,Gosford Park,1925-02-20
122,nm0576529,2014-09-17,2014-09-17,,Dariush Mehrjui,Gaav,1939-12-08
123,nm0890060,2014-09-17,2014-09-17,,Ram Gopal Varma,Satya,1962-04-07
124,nm0030417,2014-09-17,2014-09-17,,Hideaki Anno,Shin Gojira,1960-05-22
125,nm0001843,2014-09-17,2014-09-17,,James Whale,The Invisible Man,1889-07-22
126,nm0135952,2014-09-17,2014-09-17,,Nae Caranfil,Filantropica,1960-09-07
127,nm0112218,2014-09-17,2014-09-17,,Richard Brooks,Cat on a Hot Tin Roof,1912-05-18
128,nm0939182,2014-09-17,2014-09-17,,Kar-Wai Wong,Yi dai zong shi,1956-07-17
129,nm0006445,2014-09-17,2014-09-17,,Éric Rohmer,Conte d'automne,1920-04-04
130,nm0004716,2014-09-17,2014-09-17,,Darren Aronofsky,Pi,1969-02-12
131,nm0003433,2014-09-17,2014-09-17,,Carl Theodor Dreyer,Ordet,1889-02-03
132,nm0202088,2014-09-17,2014-09-17,,Jules Dassin,Pote tin Kyriaki,1911-12-18
133,nm0684596,2014-09-17,2014-09-17,,Lucian Pintilie,Terminus paradis,1933-11-09
134,nm0903049,2014-09-17,2014-09-17,,Josef von Sternberg,The Docks of New York,1894-05-29
135,nm0000466,2014-09-17,2014-09-17,,Jean-Pierre Jeunet,Un long dimanche de fiançailles,1953-09-03
136,nm0548648,2014-09-17,2014-09-17,,Goran Markovic,Sabirni centar,1946-08-24
137,nm0332950,2014-09-17,2014-09-17,,Ashutosh Gowariker,Lagaan: Once Upon a Time in India,1964-02-15
138,nm0001239,2014-09-17,2014-09-17,,John Frankenheimer,The Manchurian Candidate,1930-02-19
139,nm0906667,2014-09-17,2014-09-17,,Andrzej Wajda,Katyn,1926-03-06
140,nm0002045,2014-09-17,2014-09-17,,Stanley Donen,Charade,1924-04-13
141,nm0045800,2014-09-17,2014-09-17,,Lloyd Bacon,Marked Woman,1889-12-04
142,nm0593014,2014-09-17,2014-09-17,,Kenji Misumi,Okami yo rakujitsu o kire,1921-03-02
143,nm0466153,2014-09-17,2014-09-17,,Hirokazu Koreeda,Manbiki kazoku,1962-06-06
144,nm0138893,2014-09-17,2014-09-17,,Marcel Carné,Le quai des brumes,1906-08-18
145,nm0769874,2014-09-17,2014-09-17,,Franklin J. Schaffner,Planet of the Apes,1920-05-30
146,nm0715346,2014-09-17,2014-09-17,,Carol Reed,The Third Man,1906-12-30
147,nm0452102,2014-09-17,2014-09-17,,Abbas Kiarostami,Copie conforme,1940-06-22
148,nm0001429,2014-09-17,2014-09-17,,Takeshi Kitano,Zatôichi,1947-01-18
149,nm0081449,2014-09-17,2014-09-17,,Dragan Bjelogrlic,"Montevideo, Bog te video!",1963-10-10
150,nm0000318,2014-09-17,2014-09-17,,Tim Burton,Edward Scissorhands,1958-08-25
151,nm0886754,2014-09-17,2014-09-17,,W.S. Van Dyke,The Thin Man,1889-03-21
152,nm0314584,2014-09-17,2014-09-17,,Pietro Germi,Il ferroviere,1914-09-14
153,nm0000361,2014-09-17,2014-09-17,,Brian De Palma,Dressed to Kill,1940-09-11
154,nm0778633,2014-09-17,2014-09-17,,Ettore Scola,Una giornata particolare,1931-05-10
155,nm0027572,2014-09-17,2014-09-17,,Wes Anderson,Fantastic Mr. Fox,1969-05-01
156,nm0001351,2014-09-17,2014-09-17,,George Roy Hill,The Sting,1921-12-20
157,nm0218547,2014-09-17,2014-09-17,,Zeki Demirkubuz,Masumiyet,1964-10-01
158,nm0005363,2014-09-17,2014-09-17,,Guy Ritchie,Sherlock Holmes,1968-09-10
159,nm0000953,2014-09-17,2014-09-17,,Peter Bogdanovich,The Last Picture Show,1939-07-30
160,nm0661791,2014-09-17,2014-09-17,,Chan-wook Park,Ah-ga-ssi,1963-08-23
161,nm0001402,2014-09-17,2014-09-17,,Terry Jones,Monty Python and the Holy Grail,1942-02-01
162,nm0004056,2014-09-17,2014-09-17,,Andrew Stanton,WALL·E,1965-12-03
163,nm0002020,2014-09-17,2014-09-17,,Costa-Gavras,Missing,1933-02-12
164,nm0005222,2014-09-17,2014-09-17,,Sam Mendes,Road to Perdition,1965-08-01
165,nm0000520,2014-09-17,2014-09-17,,Michael Mann,The Insider,1943-02-05
166,nm0171443,2014-09-17,2014-09-17,,Nesli Çölgeçen,Zügürt Aga,
167,nm0305557,2014-09-17,2014-09-17,,Luis García Berlanga,Plácido,1921-06-12
168,nm0339030,2014-09-17,2014-09-17,,Paul Greengrass,United 93,1955-08-13
169,nm0000736,2014-09-17,2014-09-17,,Robert Aldrich,What Ever Happened to Baby Jane?,1918-08-09
170,nm0190859,2014-09-17,2014-09-17,,Alfonso Cuarón,Gravity,1961-11-28
171,nm0000184,2014-09-17,2014-09-17,,George Lucas,Star Wars,1944-05-14
172,nm0000905,2014-09-17,2014-09-17,,Roberto Benigni,La vita è bella,1952-10-27
173,nm0651900,2014-09-17,2014-09-17,,Mamoru Oshii,Innocence,1951-08-08
174,nm0793881,2014-09-17,2014-09-17,,Kaneto Shindô,Ichimai no hagaki,1912-04-22
175,nm0000247,2014-09-17,2014-09-17,,John Woo,Ying hung boon sik,1946-09-22
176,nm0000108,2014-09-17,2014-09-17,,Luc Besson,The Fifth Element,1959-03-18
177,nm0001351,2014-09-17,2014-09-17,,George Roy Hill,The Sting,1921-12-20
178,nm0000264,2014-09-17,2014-09-17,,Pedro Almodóvar,Hable con ella,1949-09-25
179,nm0720297,2014-09-17,2014-09-17,,Alain Resnais,On connaît la chanson,1922-06-03
180,nm0000965,2014-09-17,2014-09-17,,Danny Boyle,127 Hours,1956-10-20
181,nm0803705,2014-09-17,2014-09-17,,Victor Sjöström,Smultronstället,1879-09-20
182,nm0349425,2014-09-17,2014-09-17,,Tomás Gutiérrez Alea,Fresa y chocolate,1928-12-11
183,nm0001885,2014-09-17,2014-09-17,,Lars von Trier,Dancer in the Dark,1956-04-30
184,nm0226189,2014-09-17,2014-09-17,,William Dieterle,Faust: Eine deutsche Volkssage,1893-07-15
185,nm0000428,2014-09-17,2014-09-17,,D.W. Griffith,Intolerance: Love's Struggle Throughout the Ages,1875-01-22
186,nm0905152,2014-09-17,2014-09-17,,Lilly Wachowski,The Matrix,1967-12-29
187,nm1027719,2014-09-17,2014-09-17,,Farhan Akhtar,Zindagi Na Milegi Dobara,1974-01-09
188,nm0712947,2014-09-17,2014-09-17,,Nicholas Ray,Rebel Without a Cause,1911-08-07
189,nm0065442,2014-09-17,2014-09-17,,Jacques Becker,Le trou,1906-09-15
190,nm0671957,2014-09-17,2014-09-17,,Arthur Penn,Bonnie and Clyde,1922-09-27
191,nm0579828,2014-09-17,2014-09-17,,Vladimir Menshov,Nochnoy dozor,1939-09-17
192,nm0856267,2014-09-17,2014-09-17,,Hiroshi Teshigahara,Suna no onna,1927-01-28
193,nm0001945,2014-09-17,2014-09-17,,Claude Berri,Jean de Florette,1934-07-01
194,nm0899121,2014-09-17,2014-09-17,,Thomas Vinterberg,Jagten,1969-05-19
195,nm0000464,2014-09-17,2014-09-17,,Jim Jarmusch,Broken Flowers,1953-01-22
196,nm0526199,2014-09-17,2014-09-17,,Kátia Lund,Cidade de Deus,
197,nm0649097,2014-09-17,2014-09-17,,Max Ophüls,La ronde,1902-05-06
198,nm0449984,2014-09-17,2014-09-17,,Irvin Kershner,Star Wars: Episode V - The Empire Strikes Back,1923-04-29
199,nm0005139,2014-09-17,2014-09-17,,Mike Leigh,Secrets & Lies,1943-02-20
200,nm0001837,2014-09-17,2014-09-17,,Peter Weir,Master and Commander: The Far Side of the World,1944-08-21
201,nm0002120,2014-09-17,2014-09-17,,Lasse Hallström,What's Eating Gilbert Grape,1946-06-02
202,nm0781292,2014-09-17,2014-09-17,,Edward Sedgwick,The Flaming Frontier,1892-11-07
203,nm0001532,2014-09-17,2014-09-17,,John McTiernan,Die Hard,1951-01-08
204,nm0000759,2014-09-17,2014-09-17,,Paul Thomas Anderson,Punch-Drunk Love,1970-06-26
205,nm0836328,2014-09-17,2014-09-17,,John Sturges,The Great Escape,1910-01-03
206,nm0422638,2014-09-17,2014-09-17,,Wen Jiang,Rogue One,1963-01-05
207,nm0454771,2014-09-17,2014-09-17,,Henry King,The Song of Bernadette,1886-01-24
208,nm0080235,2014-09-17,2014-09-17,,Vishal Bhardwaj,Haider,
209,nm0631872,2014-09-17,2014-09-17,,Bozidar 'Bota' Nikolic,Balkanski spijun,1942-01-01
210,nm0847223,2014-09-17,2014-09-17,,Isao Takahata,Hotaru no haka,1935-10-29
211,nm0576987,2014-09-17,2014-09-17,,Fernando Meirelles,Blindness,1955-11-09
212,nm0408076,2014-09-17,2014-09-17,,Shôhei Imamura,Kuroi ame,1926-09-15
213,nm0001603,2014-09-17,2014-09-17,,Sam Peckinpah,The Wild Bunch,1925-02-21
214,nm0000231,2014-09-17,2014-09-17,,Oliver Stone,JFK,1946-09-15
215,nm0443411,2014-09-17,2014-09-17,,Tony Kaye,Detachment,
216,nm0015570,2014-09-17,2014-09-17,,Orhan Aksoy,Hayat mi Bu?,1930-01-10
217,nm0024912,2014-09-17,2014-09-17,,Shimit Amin,Chak De! India,
218,nm0557945,2014-09-17,2014-09-17,,Yasuzô Masumura,Daichi no komoriuta,1924-08-25
219,nm0083348,2014-09-17,2014-09-17,,Brad Bird,The Incredibles,1957-09-24
220,nm0000570,2014-09-17,2014-09-17,,Alan Parker,Evita,1944-02-14
221,nm0516360,2014-09-17,2014-09-17,,Ken Loach,"I, Daniel Blake",1936-06-17
222,nm0442454,2014-09-17,2014-09-17,,Aki Kaurismäki,Le Havre,1957-04-04
223,nm0579954,2014-09-17,2014-09-17,,Jirí Menzel,Obsluhoval jsem anglického krále,1938-02-23
224,nm0188669,2014-09-17,2014-09-17,,John Cromwell,The Prisoner of Zenda,1886-12-23
225,nm0496969,2014-09-17,2014-09-17,,Chang-dong Lee,Beoning,1954-04-01
226,nm0001175,2014-09-17,2014-09-17,,Blake Edwards,The Pink Panther Strikes Again,1922-07-26
227,nm0006487,2014-09-17,2014-09-17,,Jim Sheridan,In America,1949-02-06
228,nm0623768,2014-09-17,2014-09-17,,Ronald Neame,Golden Salamander,1911-04-23
229,nm0000797,2014-09-17,2014-09-17,,Hal Ashby,In the Heat of the Night,1929-09-02
230,nm0001178,2014-09-17,2014-09-17,,Sergei M. Eisenstein,Ivan Groznyy,1898-01-22
231,nm0359734,2014-09-17,2014-09-17,,Michael Haneke,Caché,1942-03-23
232,nm0002728,2014-09-17,2014-09-17,,Juan José Campanella,El secreto de sus ojos,1959-07-19
233,nm0002233,2014-09-17,2014-09-17,,Erich von Stroheim,Sunset Blvd.,1885-09-22
234,nm0001243,2014-09-17,2014-09-17,,William Friedkin,The French Connection,1935-08-29
235,nm0591486,2014-09-17,2014-09-17,,Vincente Minnelli,An American in Paris,1903-02-28
236,nm0001880,2014-09-17,2014-09-17,,Edward Zwick,Thirtysomething,1952-10-08
237,nm0898288,2014-09-17,2014-09-17,,Denis Villeneuve,Blade Runner 2049,1967-10-03
238,nm0948950,2014-09-17,2014-09-17,,Yoshishige Yoshida,Ningen no yakusoku,1933-02-16
239,nm0320285,2014-09-17,2014-09-17,,Marco Tullio Giordana,Romanzo di una strage,1950-10-01
240,nm0796923,2014-09-17,2014-09-17,,Don Siegel,Dirty Harry,1912-10-26
241,nm0664607,2014-09-17,2014-09-17,,Goran Paskaljevic,Bure baruta,1947-04-22
242,nm1167933,2014-09-17,2014-09-17,,Damián Szifron,Relatos salvajes,1975-07-09
243,nm0001408,2014-09-17,2014-09-17,,Shekhar Kapur,Elizabeth,1945-12-06
244,nm1104118,2014-09-17,2014-09-17,,Ki-duk Kim,Bin-jip,1960-12-20
245,nm0000490,2014-09-17,2014-09-17,,Spike Lee,Do the Right Thing,1957-03-20
246,nm0945282,2014-09-17,2014-09-17,,Yôji Yamada,Tasogare Seibei,1931-09-13
247,nm0015359,2014-09-17,2014-09-17,,Fatih Akin,Gegen die Wand,1973-08-25
248,nm0015091,2014-09-17,2014-09-17,,Serdar Akar,Dar Alanda Kisa Paslasmalar,
249,nm0945981,2014-09-17,2014-09-17,,Edward Yang,Yi yi,1947-11-06
250,nm0435563,2014-09-17,2014-09-17,,Mikhail Kalatozov,Letyat zhuravli,1903-12-28
